labels,mm_x,mm_y,mm_z,surfmm_x,surfmm_y,surfmm_z,vox_x,vox_y,vox_z,roi,roiNum
LJ7,-32.571428571428584,-51.25714285714285,34.77142857142857,-31.571428571428584,-34.25714285714285,15.771428571428572,159,112,93,ctx-lh-inferiorparietal,1008.0
LJ8,-36.8918918918919,-51.54054054054055,36.13513513513513,-35.8918918918919,-34.54054054054055,17.13513513513513,163,110,93,ctx-lh-inferiorparietal,1008.0
LJ9,-42.13513513513513,-52.270270270270274,37.54054054054055,-41.13513513513513,-35.270270270270274,18.540540540540547,169,109,92,ctx-lh-inferiorparietal,1008.0
LJ10,-47.70967741935485,-52.903225806451616,38.516129032258064,-46.70967741935485,-35.903225806451616,19.516129032258064,174,108,92,ctx-lh-inferiorparietal,1008.0
LJ11,-51.64516129032259,-54.322580645161295,37.322580645161295,-50.64516129032259,-37.322580645161295,18.322580645161292,178,109,90,ctx-lh-supramarginal,1031.0
LJ12,-58.27272727272728,-56.227272727272734,36.31818181818181,-57.27272727272728,-39.227272727272734,17.318181818181813,185,110,88,ctx-lh-supramarginal,1031.0
LK1,-32.064516129032256,-54.70967741935483,-14.258064516129023,-31.064516129032256,-37.70967741935483,-33.258064516129025,159,161,90,ctx-lh-fusiform,1007.0
LK2,-33.918367346938766,-54.04081632653062,-8.83673469387756,-32.918367346938766,-37.04081632653062,-27.83673469387756,160,155,90,ctx-lh-fusiform,1007.0
LK8,-37.01818181818183,-42.92727272727272,28.345454545454544,-36.01818181818183,-25.92727272727272,9.345454545454544,164,118,102,ctx-lh-supramarginal,1031.0
LK9,-36.77142857142857,-41.48571428571428,35.028571428571425,-35.77142857142857,-24.48571428571428,16.028571428571425,163,111,103,ctx-lh-supramarginal,1031.0
LK10,-36.400000000000006,-39.14,39.72,-35.400000000000006,-22.14,20.72,163,107,105,ctx-lh-supramarginal,1031.0
LK11,-36.85416666666666,-36.85416666666667,46.02083333333333,-35.85416666666666,-19.85416666666667,27.02083333333333,163,100,108,ctx-lh-superiorparietal,1029.0
LK12,-37.85365853658536,-35.78048780487805,52.21951219512195,-36.85365853658536,-18.78048780487805,33.21951219512195,164,94,109,ctx-lh-superiorparietal,1029.0
LL1,-17.56756756756758,14.756756756756744,-23.324324324324323,-16.56756756756758,31.756756756756744,-42.32432432432432,144,170,159,ctx-lh-lateralorbitofrontal,1012.0
LL2,-17.962962962962962,17.81481481481481,-18.555555555555543,-16.962962962962962,34.81481481481481,-37.55555555555554,144,165,162,ctx-lh-lateralorbitofrontal,1012.0
LL4,-16.775510204081627,21.877551020408163,-7.632653061224488,-15.775510204081629,38.87755102040816,-26.632653061224488,143,154,166,Left-Caudate,11.0
LL5,-16.83720930232559,23.58139534883722,-2.697674418604663,-15.83720930232559,40.58139534883722,-21.697674418604663,143,149,168,Left-Caudate,11.0
LL6,-16.68421052631578,25.31578947368422,2.2631578947368496,-15.68421052631578,42.31578947368422,-16.73684210526315,143,144,170,Left-Caudate,11.0
LL7,-16.794871794871796,26.512820512820525,7.384615384615387,-15.794871794871796,43.512820512820525,-11.615384615384611,143,139,171,Left-Caudate,11.0
LL12,-19.34285714285716,35.31428571428572,34.542857142857144,-18.34285714285716,52.31428571428572,15.542857142857144,146,112,180,ctx-lh-superiorfrontal,1028.0
LM1,-49.47916666666666,-20.0625,32.60416666666667,-48.47916666666666,-3.0625,13.604166666666671,176,114,124,ctx-lh-postcentral,1022.0
LM2,-53.97727272727272,-17.340909090909093,32.61363636363636,-52.97727272727272,-0.3409090909090935,13.61363636363636,180,114,127,ctx-lh-postcentral,1022.0
LM3,-58.35135135135136,-14.918918918918903,32.432432432432435,-57.35135135135136,2.081081081081095,13.432432432432435,185,114,130,ctx-lh-postcentral,1022.0
LM4,-63.89361702127658,-13.148936170212778,33.170212765957444,-62.89361702127658,3.851063829787222,14.170212765957444,190,113,131,ctx-lh-postcentral,1022.0
RB1,24.086956521739125,-10.173913043478253,-20.413043478260875,25.086956521739125,6.826086956521749,-39.41304347826088,102,167,134,Right-Hippocampus,53.0
RB2,29.025641025641026,-11.256410256410248,-19.358974358974365,30.025641025641026,5.743589743589752,-38.358974358974365,97,166,133,Right-Hippocampus,53.0
RB3,33.58333333333333,-12.354166666666655,-18.770833333333343,34.58333333333333,4.645833333333343,-37.77083333333334,93,165,132,Right-Hippocampus,53.0
RB4,38.73913043478261,-14.34782608695653,-19.304347826086968,39.73913043478261,2.6521739130434696,-38.30434782608697,88,166,130,ctx-rh-fusiform,2007.0
RB5,42.54285714285714,-15.685714285714283,-19.05714285714285,43.54285714285714,1.3142857142857167,-38.05714285714285,84,166,129,ctx-rh-inferiortemporal,2009.0
RB6,46.33333333333333,-16.644444444444446,-17.355555555555554,47.33333333333333,0.3555555555555543,-36.355555555555554,80,164,128,ctx-rh-middletemporal,2015.0
RB7,50.75,-17.33333333333333,-15.638888888888886,51.75,-0.3333333333333286,-34.638888888888886,76,162,127,ctx-rh-middletemporal,2015.0
RB8,54.90243902439025,-18.65853658536585,-14.146341463414643,55.90243902439025,-1.6585365853658516,-33.14634146341464,72,161,126,ctx-rh-middletemporal,2015.0
RB9,59.54054054054055,-20.621621621621628,-14.0,60.54054054054055,-3.621621621621628,-33.0,67,161,124,ctx-rh-middletemporal,2015.0
RB10,65.13043478260869,-22.065217391304344,-13.52173913043478,66.13043478260869,-5.065217391304344,-32.52173913043478,61,160,122,ctx-rh-middletemporal,2015.0
RB11,70.38888888888889,-23.611111111111114,-12.888888888888886,71.38888888888889,-6.611111111111114,-31.88888888888889,56,159,121,ctx-rh-middletemporal,2015.0
RC1,25.66666666666667,-22.592592592592595,-10.0,26.66666666666667,-5.592592592592595,-29.0,101,157,122,Right-Hippocampus,53.0
RC2,30.177777777777777,-25.24444444444444,-8.977777777777789,31.177777777777777,-8.24444444444444,-27.97777777777779,96,155,119,Right-Hippocampus,53.0
RC3,34.540000000000006,-27.700000000000003,-9.72,35.540000000000006,-10.700000000000005,-28.72,92,156,117,Right-Hippocampus,53.0
RC7,51.07142857142857,-37.30952380952381,-10.214285714285722,52.07142857142857,-20.30952380952381,-29.21428571428572,75,157,107,ctx-rh-middletemporal,2015.0
RC8,55.64,-39.68000000000001,-10.72,56.64,-22.680000000000007,-29.72,71,157,105,ctx-rh-middletemporal,2015.0
RC9,58.70588235294117,-41.08823529411765,-12.470588235294116,59.70588235294117,-24.08823529411765,-31.47058823529412,68,159,103,ctx-rh-middletemporal,2015.0
RC10,62.64583333333333,-43.375,-12.166666666666655,63.64583333333333,-26.375,-31.166666666666657,64,159,101,ctx-rh-middletemporal,2015.0
RC11,68.36363636363637,-44.87272727272728,-11.145454545454555,69.36363636363637,-27.872727272727275,-30.145454545454555,58,158,100,ctx-rh-middletemporal,2015.0
RF1,21.241379310344826,-76.48275862068965,7.413793103448285,22.241379310344826,-59.48275862068965,-11.586206896551715,105,139,68,ctx-rh-pericalcarine,2021.0
RF3,29.684210526315795,-77.5,7.131578947368411,30.684210526315795,-60.5,-11.86842105263159,97,139,67,ctx-rh-lateraloccipital,2011.0
RF4,34.974999999999994,-76.8,6.375,35.974999999999994,-59.8,-12.625,92,140,68,ctx-rh-lateraloccipital,2011.0
RF5,40.39583333333333,-76.47916666666667,7.6875,41.39583333333333,-59.47916666666667,-11.3125,86,139,68,ctx-rh-lateraloccipital,2011.0
RF6,45.34146341463415,-76.1951219512195,8.585365853658544,46.34146341463415,-59.19512195121951,-10.414634146341456,81,138,68,ctx-rh-lateraloccipital,2011.0
RF7,50.22641509433963,-76.69811320754717,7.207547169811335,51.22641509433963,-59.698113207547166,-11.792452830188664,76,139,68,ctx-rh-lateraloccipital,2011.0
LA1,-22.702127659574472,-3.7659574468085,-17.297872340425528,-21.702127659574472,13.2340425531915,-36.29787234042553,149,164,141,Left-Amygdala,18.0
LA2,-27.41860465116278,-6.4883720930232585,-18.83720930232559,-26.41860465116278,10.511627906976742,-37.83720930232559,154,165,138,Left-Amygdala,18.0
LA3,-31.47272727272727,-9.581818181818193,-19.36363636363637,-30.47272727272727,7.418181818181807,-38.36363636363637,158,166,135,Left-Hippocampus,17.0
LA4,-35.296296296296305,-12.074074074074076,-20.925925925925924,-34.296296296296305,4.925925925925924,-39.92592592592592,162,167,132,Left-Hippocampus,17.0
LA5,-41.5,-15.340000000000003,-22.52000000000001,-40.5,1.6599999999999966,-41.52000000000001,168,169,129,ctx-lh-fusiform,1007.0
LA6,-45.10714285714286,-17.0,-22.25,-44.10714285714286,0.0,-41.25,172,169,128,ctx-lh-inferiortemporal,1009.0
LA7,-48.97916666666666,-19.625,-22.208333333333343,-47.97916666666666,-2.625,-41.20833333333334,175,169,125,ctx-lh-inferiortemporal,1009.0
LA8,-54.53846153846155,-21.519230769230774,-21.84615384615384,-53.53846153846155,-4.519230769230774,-40.84615384615384,181,168,123,ctx-lh-inferiortemporal,1009.0
